"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"07-Nov-2016","     8535.75","     8535.85","     8481.45","     8497.05","      178070534","         8436.70"
"08-Nov-2016","     8540.00","     8559.40","     8480.10","     8543.55","      201759648","         8515.57"
"09-Nov-2016","     8067.50","     8476.20","     8002.25","     8432.00","      323968654","        15536.37"
"10-Nov-2016","     8555.60","     8598.45","     8510.70","     8525.75","      271196930","        12386.39"
"11-Nov-2016","     8456.65","     8460.60","     8284.95","     8296.30","      275221694","        12485.11"
"15-Nov-2016","     8284.85","     8288.55","     8093.20","     8108.45","      370298063","        17387.22"
"16-Nov-2016","     8205.65","     8210.05","     8089.40","     8111.60","      277801233","        13705.03"
"17-Nov-2016","     8105.10","     8151.25","     8060.30","     8079.95","      197183084","         8713.06"
"18-Nov-2016","     8097.55","     8128.95","     8048.30","     8074.10","      166199545","         7901.64"
"21-Nov-2016","     8102.10","     8102.45","     7916.40","     7929.10","      225608889","         9199.11"
"22-Nov-2016","     7989.15","     8019.05","     7938.15","     8002.30","      216677654","         9000.44"
"23-Nov-2016","     8051.20","     8055.20","     7973.10","     8033.30","      186602328","         8681.67"
"24-Nov-2016","     8011.80","     8024.85","     7952.55","     7965.50","      268619026","        11868.11"
"25-Nov-2016","     8007.95","     8122.25","     7976.75","     8114.30","      183355873","         8920.79"
"28-Nov-2016","     8080.65","     8146.50","     8066.50","     8126.90","      195595287","         8666.87"
"29-Nov-2016","     8131.55","     8197.35","     8128.70","     8142.15","      195618384","         8486.32"
"30-Nov-2016","     8172.15","     8234.25","     8139.25","     8224.50","      255725357","        14473.78"
"01-Dec-2016","     8244.00","     8250.80","     8185.05","     8192.90","      162597213","         7720.96"
"02-Dec-2016","     8153.55","     8159.30","     8070.05","     8086.80","      176767415","         8050.50"
"05-Dec-2016","     8088.75","     8141.90","     8056.85","     8128.75","      130435865","         6432.02"
"06-Dec-2016","     8153.15","     8178.70","     8130.85","     8143.15","      118854323","         5417.56"
"07-Dec-2016","     8168.40","     8190.45","     8077.50","     8102.05","      175024334","         7900.03"
"08-Dec-2016","     8152.10","     8256.25","     8151.75","     8246.85","      146857616","         7275.01"
"09-Dec-2016","     8271.70","     8274.95","     8241.95","     8261.75","      154344775","         6866.81"
"12-Dec-2016","     8230.65","     8230.65","     8154.45","     8170.80","      111432551","         5026.02"
"13-Dec-2016","     8196.15","     8228.85","     8155.80","     8221.80","      189739559","         8976.54"
"14-Dec-2016","     8229.35","     8229.40","     8165.10","     8182.45","      149132520","         6763.63"
"15-Dec-2016","     8128.40","     8225.90","     8121.95","     8153.60","      187425988","         8579.44"
"16-Dec-2016","     8178.20","     8178.70","     8127.45","     8139.45","      209268331","         9854.07"
"19-Dec-2016","     8126.00","     8132.50","     8094.85","     8104.35","      110669713","         5272.20"
"20-Dec-2016","     8110.60","     8124.10","     8062.75","     8082.40","      132026742","         6296.67"
"21-Dec-2016","     8105.85","     8112.55","     8053.25","     8061.30","      127543733","         6304.60"
"22-Dec-2016","     8043.85","     8046.45","     7964.95","     7979.10","      126409580","         6206.58"
"23-Dec-2016","     7972.50","     8022.60","     7942.05","     7985.75","      127921701","         5907.28"
"26-Dec-2016","     7965.10","     7970.05","     7893.80","     7908.25","      110171222","         4808.67"
"27-Dec-2016","     7915.05","     8044.65","     7903.70","     8032.85","      122463312","         5282.66"
"28-Dec-2016","     8047.55","     8100.55","     8028.40","     8034.85","      130580701","         5816.34"
"29-Dec-2016","     8030.60","     8111.10","     8020.80","     8103.60","      183984077","         7635.40"
"30-Dec-2016","     8119.65","     8197.00","     8114.75","     8185.80","      131457250","         5800.70"
"02-Jan-2017","     8210.10","     8212.00","     8133.80","     8179.50","      122016111","         5255.49"
"03-Jan-2017","     8196.05","     8219.10","     8148.60","     8192.25","      131186021","         6053.67"
"04-Jan-2017","     8202.65","     8218.50","     8180.90","     8190.50","      136476345","         6543.13"
"05-Jan-2017","     8226.65","     8282.65","     8223.70","     8273.80","      163957452","         8180.68"
"06-Jan-2017","     8281.85","     8306.85","     8233.25","     8243.80","      143689850","         7298.74"
"09-Jan-2017","     8259.35","     8263.00","     8227.75","     8236.05","      102211190","         5197.62"
"10-Jan-2017","     8262.70","     8293.80","     8261.00","     8288.60","      147312927","         6904.57"
